pref,store_type,payment_type,industry_type,month,store
大阪府小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,10823.73076923077
大阪府小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,5843.038461538462
大阪府小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,13519.807692307691
大阪府小計,固定店舗,クレジットカード　利用可能店,小売業,6,19596.96153846154
大阪府小計,固定店舗,クレジットカード　利用可能店,飲食業,6,11869.423076923076
大阪府小計,固定店舗,合計,その他サービス業,6,17005.653846153848
大阪府小計,固定店舗,合計,小売業,6,24183.384615384617
大阪府小計,固定店舗,合計,飲食業,6,16472.30769230769
大阪府小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,2499.6923076923076
大阪府小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,1098.1538461538462
大阪府小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,1843.6153846153845
大阪府小計,移動販売等（タクシー、屋台など）,合計,合計,6,3926.1923076923076
大阪府小計,通信販売,QRコード　利用可能店,合計,6,205.1153846153846
大阪府小計,通信販売,その他電子マネー等　利用可能店,合計,6,7574.807692307692
大阪府小計,通信販売,クレジットカード　利用可能店,合計,6,6771.115384615385
大阪府小計,通信販売,合計,合計,6,14040.846153846154
奈良県小計,合計,QRコード　利用可能店,合計,6,3541.923076923077
奈良県小計,合計,その他電子マネー等　利用可能店,合計,6,3513.923076923077
奈良県小計,合計,クレジットカード　利用可能店,合計,6,5999.7307692307695
奈良県小計,合計,合計,合計,6,8221.038461538461
奈良県小計,固定店舗,QRコード　利用可能店,その他サービス業,6,1071.6153846153845
奈良県小計,固定店舗,QRコード　利用可能店,小売業,6,1522.3846153846155
奈良県小計,固定店舗,QRコード　利用可能店,飲食業,6,767.0
奈良県小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,894.5384615384615
奈良県小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,1371.5384615384614
奈良県小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,517.3461538461538
奈良県小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,1766.3461538461538
奈良県小計,固定店舗,クレジットカード　利用可能店,小売業,6,2598.4615384615386
奈良県小計,固定店舗,クレジットカード　利用可能店,飲食業,6,951.2307692307693
奈良県小計,固定店舗,合計,その他サービス業,6,2240.6153846153848
奈良県小計,固定店舗,合計,小売業,6,3173.769230769231
奈良県小計,固定店舗,合計,飲食業,6,1381.1923076923076
奈良県小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,136.1153846153846
奈良県小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,63.15384615384615
奈良県小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,107.96153846153847
奈良県小計,移動販売等（タクシー、屋台など）,合計,合計,6,200.73076923076923
奈良県小計,通信販売,QRコード　利用可能店,合計,6,44.80769230769231
奈良県小計,通信販売,その他電子マネー等　利用可能店,合計,6,667.3461538461538
奈良県小計,通信販売,クレジットカード　利用可能店,合計,6,575.7307692307693
奈良県小計,通信販売,合計,合計,6,1224.7307692307693
宮城県小計,合計,QRコード　利用可能店,合計,6,6490.961538461538
宮城県小計,合計,その他電子マネー等　利用可能店,合計,6,7592.307692307692
宮城県小計,合計,クレジットカード　利用可能店,合計,6,12107.923076923076
宮城県小計,合計,合計,合計,6,15645.423076923076
宮城県小計,固定店舗,QRコード　利用可能店,その他サービス業,6,1618.1153846153845
宮城県小計,固定店舗,QRコード　利用可能店,小売業,6,2908.923076923077
宮城県小計,固定店舗,QRコード　利用可能店,飲食業,6,1379.8846153846155
宮城県小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,1721.1923076923076
宮城県小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,3622.9615384615386
宮城県小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,1355.2692307692307
宮城県小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,3073.1153846153848
宮城県小計,固定店舗,クレジットカード　利用可能店,小売業,6,5407.653846153846
宮城県小計,固定店舗,クレジットカード　利用可能店,飲食業,6,2406.230769230769
宮城県小計,固定店舗,合計,その他サービス業,6,3807.5384615384614
宮城県小計,固定店舗,合計,小売業,6,6420.0
宮城県小計,固定店舗,合計,飲食業,6,3172.5384615384614
宮城県小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,529.2307692307693
宮城県小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,258.11538461538464
宮城県小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,538.9615384615385
宮城県小計,移動販売等（タクシー、屋台など）,合計,合計,6,950.1923076923077
宮城県小計,通信販売,QRコード　利用可能店,合計,6,54.80769230769231
宮城県小計,通信販売,その他電子マネー等　利用可能店,合計,6,634.7692307692307
宮城県小計,通信販売,クレジットカード　利用可能店,合計,6,681.9615384615385
宮城県小計,通信販売,合計,合計,6,1295.1538461538462
宮崎県小計,合計,QRコード　利用可能店,合計,6,4050.1923076923076
宮崎県小計,合計,その他電子マネー等　利用可能店,合計,6,2881.0
宮崎県小計,合計,クレジットカード　利用可能店,合計,6,5365.692307692308
宮崎県小計,合計,合計,合計,6,7865.461538461538
宮崎県小計,固定店舗,QRコード　利用可能店,その他サービス業,6,840.6538461538462
宮崎県小計,固定店舗,QRコード　利用可能店,小売業,6,1616.7692307692307
宮崎県小計,固定店舗,QRコード　利用可能店,飲食業,6,902.5
宮崎県小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,629.3846153846154
宮崎県小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,1410.2692307692307
宮崎県小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,534.7307692307693
宮崎県小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,1084.6923076923076
宮崎県小計,固定店舗,クレジットカード　利用可能店,小売業,6,2941.5384615384614
宮崎県小計,固定店舗,クレジットカード　利用可能店,飲食業,6,871.3846153846154
宮崎県小計,固定店舗,合計,その他サービス業,6,1562.3846153846155
宮崎県小計,固定店舗,合計,小売業,6,3540.230769230769
宮崎県小計,固定店舗,合計,飲食業,6,1413.1538461538462
宮崎県小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,677.3461538461538
